Marca temporal,id,aviso_priv, Datos Personales (NO INGRESAR NADA),genero,edad,ocupacion,genero_fav,medio,why_music,song1,song2,song3,song4,song5,song6,song7,song8,song9,song10,song11,song12,song13,song14,song15,song16,song17,song18,song19,song20,song21,song22,song23,song24,song25,song26,song27,song28,song29,song30
25/5/2026 19:35:38,10,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,22,Estudiante ,Rock,Youtube Music,Para relajarme,5,5,5,5,5,5,4,5,3,3,6,5,4,3,4,2,5,5,5,5,5,3,4,3,2,4,3,3,3,5
25/5/2026 19:38:58,11,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,22,Estudiante,Rock,"Youtube Music, MP3",Por hábito,5,6,6,4,4,5,3,3,3,1,3,4,4,1,2,3,5,4,3,4,4,1,3,6,1,6,6,6,6,4
25/5/2026 23:09:31,12,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,21,Estudiante ,Rock,Spotify,Para trabajar o estudiar,3,5,5,4,3,4,1,2,2,2,6,4,2,4,4,3,3,2,1,2,6,2,1,1,1,6,2,6,3,3
28/5/2026 11:19:36,13,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Mujer,25,Arqueolga ,Pop,"Youtube Music, Música descargada ",Para trabajar o estudiar,4,4,4,3,4,5,6,3,3,2,6,3,3,1,1,1,3,6,6,3,3,3,4,6,1,2,3,6,6,4
28/5/2026 17:10:44,14,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,23,Estudiante ,Rock,Spotify,Para trabajar o estudiar,5,4,5,5,3,5,4,6,3,3,6,3,6,3,6,6,4,4,6,4,6,3,3,1,1,3,1,6,2,3
28/5/2026 17:20:32,15,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Mujer,19,Estudiante ,Pop,"Spotify, Apple Music",Por hábito,2,3,1,4,4,5,5,5,4,4,5,5,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4
28/5/2026 17:39:33,16,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,20,Estudiante,Latina,Spotify,Por hábito,5,5,5,5,5,5,3,4,2,3,3,5,5,4,4,4,4,5,2,4,3,4,4,4,5,3,4,3,3,5
28/5/2026 18:39:02,17,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,20,Estudiante ,Latina,En la combi cuando voy con mi mamá ponen música ,Ni modo que le diga que la apague ,6,6,6,6,6,6,6,6,6,1,1,6,1,6,6,1,6,6,1,6,4,6,6,6,6,1,6,1,6,6
28/5/2026 19:36:48,18,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,22,Estudiante,Pop,Apple Music,Por hábito,4,3,3,3,4,3,4,5,5,5,3,4,4,4,4,3,4,2,4,5,6,3,2,4,4,3,3,6,6,3
28/5/2026 19:40:39,19,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,22,Estudiante ,Pop,"Spotify, Apple Music",Para trabajar o estudiar,3,6,5,4,5,4,5,5,3,5,3,3,3,3,5,3,6,5,5,3,3,3,4,4,4,5,3,6,6,6
28/5/2026 19:48:35,20,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,21,Estudiante ,Rock,Spotify,Para hacer actividad física,3,4,3,4,3,4,6,3,6,3,6,6,6,6,3,2,4,5,6,5,3,3,2,6,3,6,3,6,6,3
28/5/2026 20:36:20,21,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,19,Estudiante,Rock,Spotify,Para relajarme,4,3,4,3,4,3,6,3,3,1,6,4,6,3,2,6,3,3,6,4,6,1,1,1,1,6,2,6,2,3
28/5/2026 21:31:49,22,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,21,Auditor de TI,Rock,Spotify,Por hábito,5,5,4,5,4,5,5,5,5,3,4,4,4,3,3,3,4,5,2,5,3,5,3,3,1,3,3,6,4,5
28/5/2026 22:19:07,23,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,21,Estudiante,Hip-Hop,Apple Music,Para trabajar o estudiar,4,4,4,5,6,4,6,4,6,6,6,6,6,5,4,6,5,5,6,5,6,3,1,6,4,6,3,6,6,4
28/5/2026 22:54:11,24,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Persona no binaria,23,Pintor,Rock,Trevel,Para trabajar o estudiar,4,5,4,3,4,5,6,5,3,6,6,5,4,2,6,6,5,4,6,3,4,3,6,2,1,2,4,6,3,5
28/5/2026 22:59:43,25,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,29,Manager,Pop,Youtube Music,Para relajarme,4,2,4,2,5,3,3,3,5,5,6,4,3,3,2,3,5,2,3,5,6,4,4,3,3,3,3,5,3,5
29/5/2026 11:16:23,26,Acepto haber leído el aviso de privacidad y otorgo mi consentimiento,0,Hombre,23,Estudiante,Electrónica,Youtube Music,Para alegrar mi día,5,5,5,5,5,3,3,5,5,6,6,6,6,4,6,6,5,5,6,5,4,4,5,6,6,5,5,5,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
